SKU,Published,Sale price,Regular price
SKU_36HM3CO_7OKK5C5,1,10230,13900
SKU_SNFAW_2TGOVB,1,,15840
SKU_25Y508L_2QDVM2O,1,29600,31820
SKU_2LHU4H8_493ZR1Z,1,15900,17900
SKU_3AH92GO_8A9FL7G,1,15000,32000
SKU_32BTMK7_71UNJC9,1,16900,28000
SKU_230JLHU_2IOTST1,1,8990,30000
SKU_35X0HE8_7LCANH2,1,16390,26000
SKU_33LTBUM_78W01I5,1,22400,24900
SKU_2EQBXZ0_3EN6UIN,1,12500,12500
SKU_36HM388_7OKK4MZ,1,9930,13900
SKU_2NY5BF6_4KL2XO6,1,41250,55000
SKU_3APS9DZ_8BBXQE2,1,,18000
SKU_2SL4C8T_56K1JIF,1,8900,16000
SKU_CHB73_1CQL4O,1,8820,12900
SKU_3BE3XGJ_8EHAVQL,1,,23200
SKU_2RGAAI_R61,1,,14040
SKU_2SL65GQ_56KCRQ4,1,18400,19550
SKU_2N3881L_4GHQ4EM,1,,36000
SKU_1FAX_310U,1,6860,10800
SKU_2HPCT2Q_3RLJHCF,1,12090,20000
SKU_2M7GJN1_4CBZW64,1,32050,32400
SKU_2YXQ26Q_6H32LGX,1,,10900
SKU_3AK0A8V_8ALJ2H3,1,11900,19000
SKU_XUFTEV_1LJEYEJ,1,,11760
SKU_4W1VTJ_FF5E94,1,11800,17000
SKU_2SDPG37_6PT07C7,1,19800,45800
SKU_2QVSX7I_4XYRCPU,1,19240,19900
SKU_38IZB6U_80DHZ4F,1,36470,46660
SKU_31K4XQN_6XC1VJY,1,,38000
SKU_2W9GEF4_5ZVITIU,1,19910,21520
SKU_2T02Q3Y_59YPCGO,1,10800,40000
SKU_2S51N6M_53RO354,1,32440,86000
SKU_35P9416_7K7N5M6,1,62060,62060
SKU_NOQOWM_14WTJBA,1,10030,18000
SKU_11T5WM_3KRQRF,1,,19780
SKU_2P32C3U_4PUPTYK,1,,21960
SKU_354AE0C_7GXSWWK,1,17640,17840
SKU_355C1YL_7H35F4V,1,18200,26000
SKU_2QUKM32_4XTOLO1,1,34200,34200
SKU_36LZGGE_7PADBPJ,1,30670,39000
SKU_34753NO_7C19S1G,1,16800,28000
SKU_35YFAP3_7LJXQLN,1,17630,17860
SKU_35FX6AD_7IQQ6SG,1,24900,80000
SKU_2SLTUOA_56P70BI,1,,15000
SKU_2S53K85_53S2FKF,1,9500,25000
SKU_6WPBF_TQ5JM,1,8900,13000
SKU_35KPSSR_7JIZPCI,1,,11300
SKU_3AR3APW_8BHNW6J,1,18490,23000
SKU_3AEAIKI_89WLJFF,1,16750,25000
SKU_38B3GY7_7Z4JGG8,1,14240,60000
SKU_3B1O6I6_8CTESAY,1,11620,38000
SKU_3424LSB_7BB1402,1,,15000
SKU_2ZRBQKC_6MD8379,1,19800,21300
SKU_3AOKTMH_8B6GJL9,1,16390,26000
SKU_2Y0G8WP_6BATA20,1,19010,19230
SKU_2JHVXFH_3ZNIV4N,1,14270,15400
SKU_2O6QHRY_4LRQY2B,1,9700,16000
SKU_2850E10_34J7196,1,,29680
SKU_2W2L12P_5YJJ2G6,1,20610,21390
SKU_2Y7MK0V_6CLPL3D,1,14400,17540
SKU_35YG7IB_7LK2HDD,1,8890,9000
SKU_AS9S0_17CSRR,1,9040,15500
SKU_3PV7UH_BQ8OU5,1,,10000
SKU_390E24T_82SGCWI,1,11500,23000
SKU_4W1QPM_FF4YAR,1,31670,32010
SKU_33J7AHZ_78IEGTO,1,,25000
SKU_2CL71P4_37IRYPX,1,8250,14500
SKU_2TU81IN_5HB63B9,1,12980,28000
SKU_2I4N1DL_3THE4O2,1,,28000
SKU_2XTPU6Z_6A5ISDW,1,9830,25000
SKU_1ZXM81Y_2CD4LJ8,1,22660,25000
SKU_3WAPHD_CD732L,1,16900,24000
SKU_2R74ZSE_4ZFOJVL,1,22000,22000
SKU_23S8MND_2KX2BVQ,1,,5900
SKU_31E62B4_6WAT79I,1,8500,13800
SKU_33BPNKB_77F1ZVT,1,,23100
SKU_3BKG20C_8FCP6YG,1,19500,44000
SKU_SHI43K_1CHFYLL,1,,10450
SKU_3319EOS_75X932C,1,10720,16500
SKU_PH8PNG_17N6AKN,1,,8790
SKU_164UG_5854E,1,20990,22830
SKU_2ZZZZ39_6NTVGAU,1,14900,25000
SKU_29LBCLL_2ZAE5VQ,1,,12000
SKU_36TES9T_7QI51FY,1,26000,36000
SKU_3B3NSEC_8D2RP1N,1,,13900
SKU_2SL2LGM_56JQCOK,1,,16740
SKU_2SKDFBM_56EUWL9,1,,39000
SKU_17CXO9_40JRAF,1,11700,17600
SKU_32UR2FS_74VDXES,1,,17800
SKU_2RIPXOG_50TLZS3,1,,24360
SKU_34IWZ7Y_7DTNTR5,1,,9800
SKU_4D8R0T_DP2HUO,1,12800,22000
SKU_73SZF_UGXWD,1,7710,9900
SKU_3AW0U39_8C3FEHS,1,34200,38000
SKU_2PSML5I_4SYSTLE,1,,12320
SKU_2S51HYB_53RMFOY,1,8750,21000
SKU_2RWXUXI_52ORAOI,1,14680,15250
SKU_2SINHDV_563B87E,1,19800,36000
SKU_3B28C3C_8CVUG7U,1,16980,45000
SKU_3AGFYXG_8A5ZJC6,1,12460,25000
SKU_2MPHQDI_4EP8NO3,1,11340,18900
SKU_2LKZ33S_49HLYYY,1,,34000
SKU_337S2NK_76T6HI3,1,15050,19500
SKU_NYNHRQ_159VA6V,1,12500,25800
SKU_3B1ET1_9LFHTS,1,7990,8920
SKU_3ACSH0M_89Q6PRB,1,13200,22000
SKU_2Z0CQL3_6HJPDUF,1,13510,21000
